Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
208,4/7/2025,house_of_luxury,Christian Dior Gold Chain Necklace with Rhinestones,,,Very Good Condition,, $ 97.15 ,,,, $ -   ,0%,,  120.00 
209,4/7/2025,house_of_luxury,Christian Dior Gold Rhinestone Logo Necklace,,,Good Condition,, $ 79.50 ,,,, $ -   ,0%,,  120.00 
210,4/7/2025,house_of_luxury,Christian Dior Gold Rhinestone Teardrop Necklace,,,Very Good Condition,, $ 95.57 ,,,, $ -   ,0%,,  120.00 
211,4/8/2025,house_of_luxury,Givenchy Gold Logo Bracelet,,,Very Good Condition,, $ 102.60 ,,,, $ -   ,0%,,  119.00 
212,4/8/2025,house_of_luxury,Givenchy Gold Bracelet,,,Very Good Condition,, $ 109.99 ,,,, $ -   ,0%,,  119.00 
213,4/8/2025,house_of_luxury,Givenchy Gold Fluer de Lys Necklace,,,Very Good Condition,, $ 95.57 ,,,, $ -   ,0%,,  119.00 
214,4/8/2025,house_of_luxury,Christian Dior Gold and Black Logo Necklace with Rhinestones,,,Very Good Condition,, $ 156.10 ,, $ 150.50 , $ 67.72 , $ 82.78 ,55%,7/1/2025,  84.00 
215,4/10/2025,Starluxeboutique,Louis Vuitton Monogram Long Wallet,,,Good Condition,, $ 87.12 ,, $ -   , $ -   , $ -   ,0%,5/9/2025,  29.00 
216,4/10/2025,house_of_luxury,Loewe Yellow Handbag,,,Good Condition,, $ 104.77 ,,,, $ -   ,0%,,  117.00 
217,4/10/2025,house_of_luxury,Valentino Black Shoulder Bag,,,Very Good Condition,, $ 108.90 ,,,, $ -   ,0%,,  117.00 
218,4/11/2025,house_of_luxury,Givenchy Silver Necklace with Rhinestones,,,Good Condition,, $ 37.26 ,,,, $ -   ,0%,,  116.00 
219,4/12/2025,house_of_luxury,Christian Dior Gold Rhinestone Necklace,,,Good Condition,, $ 100.42 ,,,, $ -   ,0%,,  115.00 
220,4/12/2025,house_of_luxury,Tiffany Silver Star Necklace,,,Great Condition,, $ 101.28 ,, $ 168.75 , $ 75.94 , $ 92.81 ,55%,7/1/2025,  80.00 
221,4/12/2025,house_of_luxury,Louis Vuitton Gold Keychain,,,Great Condition,, $ 112.99 ,,,, $ -   ,0%,,  115.00 
222,4/12/2025,luxefindstx,Louis Vuitton Mahina Solar PM in Powder Taupe,,,Fair Condition,, $ 391.18 ,, $ 492.00 , $ 436.70 , $ 55.30 ,11%,4/25/2025,  13.00 
223,4/13/2025,panandpiperscloset,Gucci Wallet - Patent Plum,,,Good Condition,, $ 82.99 ,, $ 120.00 , $ 105.77 , $ 14.23 ,12%,5/25/2025,  42.00 
224,4/14/2025,timelessluxe,Vintage White Dior Honeycomb Bag,,,Great Condition,, $ 66.58 ,, $ 120.00 , $ 107.64 , $ 12.36 ,10%,5/14/2025,  30.00 
225,4/14/2025,timelessluxe,Chocolate Gucci Bamboo Bag,,,Great Condition,, $ 92.00 ,, $ 150.00 , $ 133.01 , $ 16.99 ,11%,5/18/2025,  34.00 
226,4/14/2025,timelessluxe,Navy Ferragamo Wallet with Gold Hardware,,,Great Condition,, $ 42.57 ,, $ 69.00 , $ 60.85 , $ 8.15 ,12%,6/25/2025,  72.00 
227,4/14/2025,timelessluxe,Salvatore Ferragamo Gancini Nylon Chain Evening Bag in Grey,,,Very Good Condition,, $ 187.35 ,, $ 258.75 , $ 229.40 , $ 29.35 ,11%,5/2/2025,  18.00 
228,4/15/2025,house_of_luxury,Chanel Beige Icon Series Long Wallet,,,Good Condition,, $ 121.11 , $ 315.00 , $ 279.00 , $ 268.13 , $ 10.87 ,4%,,  112.00 
229,4/15/2025,house_of_luxury,Givenchy Gold Chain with Box,,,Great Condition,, $ 95.83 ,,,, $ -   ,0%,,  112.00 
230,4/15/2025,house_of_luxury,Burberry Red Long Wallet,,,Good Condition,, $ 110.81 ,, $ 175.00 , $ 155.17 , $ 19.83 ,11%,6/25/2025,  71.00 
231,4/15/2025,house_of_luxury,Givenchy Gold Bracelet ,,,Great Condition,, $ 104.92 ,,,, $ -   ,0%,,  112.00 
232,4/15/2025,house_of_luxury,Christian Dior Gold Necklace with Black Enamel and Rhinestones,,,Great Condition,, $ 93.38 ,,,, $ -   ,0%,,  112.00 
