Item Inventory #,Purchase_Date,seller,Brand + Product Name,Brand,Product_Name,product description, Quality , Purchase Price , List Price , Sell price , Gross Amount Earned , Net Profit/Loss ,Percent Profit,Date Sold,Days Held
330,5/4/2025,goldpawnership,Dior Pink Pouch Givvy,,,Giveaway,, $ 58.35 ,, $ -   , $ -   , $ -   ,0%,,  93.00 
331,5/4/2025,circulaire,Bottega Veneta Brick Red Intrecciato Zip Continental Wallet,,,Great Condition,, $ 112.67 ,,,, $ -   ,0%,,  93.00 
332,5/2/2025,Yardsale,Coral Tory Burch,,,Excellent Condition,, $ 50.00 , $ 185.00 , $ 161.00 , $ 128.80 , $ 32.20 ,20%,,  95.00 
333,5/2/2025,Yardsale,Silver and Gold Tory Burch,,,Good Condition,, $ 20.00 ,, $ 51.00 , $ 44.77 , $ 6.23 ,12%,7/13/2025,  72.00 
334,5/2/2025,Yardsale,Burberry Classic Print Pochette / Wristlet,,,Good Condition,, $ 25.00 ,, $ 139.00 , $ 123.04 , $ 15.96 ,11%,5/14/2025,  12.00 
335,5/2/2025,Yardsale,BCBG Irridescent Clutch,,,Excellent Condition,, $ 3.00 ,, $ -   , $ -   , $ -   ,0%,,  95.00 
336,5/2/2025,Yardsale,Michael Kors Black and Gold Wristlet,,,Good Condition,, $ 10.00 ,,,, $ -   ,0%,,  95.00 
337,5/2/2025,Yardsale,Louis Vuitton Monogram Eclipse - Comes with COA,,,Great Condition,, $ 210.00 ," $ 1,099.00 ", $ 699.30 , $ 621.06 , $ 78.24 ,11%,5/9/2025,  7.00 
338,5/4/2025,japanluxlifestyle,Gucci Soho Champagne Wallet,,,Fair Condition,, $ 71.65 ,, $ 46.00 , $ 40.30 , $ 5.70 ,12%,6/4/2025,  31.00 
339,5/4/2025,japanluxlifestyle,Gucci Guccisma Wallet in Black,,,Fair Condition,, $ 71.65 ,, $ 31.00 , $ 28.45 , $ 2.55 ,8%,7/4/2025,  61.00 
340,5/4/2025,japanluxlifestyle,Chanel Pink Long Zippy Wallet,,,Fair Condition,, $ 111.77 ,, $ 155.00 , $ 137.17 , $ 17.83 ,12%,7/21/2025,  78.00 
341,5/4/2025,japanluxlifestyle,Dior Around the World Tote Bag,,,NWT,, $ 51.73 ,,,, $ -   ,0%,,  93.00 
342,5/4/2025,japanluxlifestyle,Dior Fan,,,NWT,, $ 51.73 ,,,, $ -   ,0%,,  93.00 
343,5/4/2025,japanluxlifestyle,Tiffany & Co Notebook,,,NWT,, $ 62.07 ,,,, $ -   ,0%,,  93.00 
344,5/4/2025,japanluxlifestyle,Louis Vuitton City Guide Tote,,,NWT,, $ 64.25 ,,,, $ -   ,0%,,  93.00 
345,5/4/2025,crisfashionstyle,Fendi Hobo Shoulder bag,,,Good Condition,, $ 304.06 ,, $ 479.20 , $ 426.40 , $ 52.80 ,11%,5/25/2025,  21.00 
346,5/4/2025,crisfashionstyle,Prada Nylon Two Way Bag,,,Great Condition,, $ 370.26 ,, $ 490.00 , $ 434.64 , $ 55.36 ,11%,5/26/2025,  22.00 
347,5/4/2025,houstonselects,Louis Vuitton Damier Azul Koala,,,Good Condition,, $ 162.49 ,,,, $ -   ,0%,,  93.00 
348,5/4/2025,panandpiperscloset,YSL Muse in Brown with Key,,,Great Condition,, $ 216.94 ,, $ 276.00 , $ 154.56 , $ 121.44 ,44%,7/1/2025,  58.00 
349,5/5/2025,houstonselects,MCM Tan Visetos,,,Great Condition,, $ 227.83 ,,,, $ -   ,0%,,  92.00 
350,5/5/2025,designerbrandbag,Bottega Inrecciato Chain Shoulder Bag,,,Good condition,, $ 347.62 ,, $ 549.00 , $ 476.56 , $ 72.44 ,13%,6/27/2025,  53.00 
351,5/5/2025,house_of_luxury,Givenchy Gold Bracelet,,,Great Condition,, $ 83.40 ,, $ 150.00 , $ 120.00 , $ 30.00 ,20%,6/9/2025,  35.00 
352,5/5/2025,house_of_luxury,Givenchy Gold Layered Necklace,,,Great Condition,, $ 167.31 ,,,, $ -   ,0%,,  92.00 
353,5/5/2025,house_of_luxury,Christian Dior Gold Rhinestone Heart Necklace,,,Great Condition,, $ 114.35 ,,,, $ -   ,0%,,  92.00 
354,5/5/2025,house_of_luxury,Givenchy Gold Bracelet,,,Great Condition,, $ 99.10 ,,,, $ -   ,0%,,  92.00 
355,5/5/2025,house_of_luxury,Givenchy Gold Necklace,,,Great Condition,, $ 132.86 ,,,, $ -   ,0%,,  92.00 
356,5/5/2025,goldenboutique,Blue MCM 2Way Bag,,,Great Condition,, $ 200.88 ,,,, $ -   ,0%,,  92.00 
357,5/5/2025,timelessluxe,Versace Small Brown Bag,,,Excellent Condition,, $ 341.90 ,, $ 439.20 , $ 389.92 , $ 49.28 ,11%,,  92.00 
358,5/6/2025,house_of_luxury,Dior Gold Circle Logo Necklace,,,Good Condition,, $ 105.18 ,,,, $ -   ,0%,,  91.00 
359,5/6/2025,house_of_luxury,Christian Dior Gold Rhinestone CD Necklace,,,Good Condition,, $ 112.86 ,,,, $ -   ,0%,,  91.00 
360,5/7/2025,arttefinaluxury,Gucci Medium Pelham Raffia Bag,,,Excellent Condition,, $ 362.87 ,, $ 649.00 , $ 576.56 , $ 72.44 ,11%,6/25/2025,  49.00 
361,5/7/2025,arttefinaluxury,Gray Burberry Bag,,,Excellent Condition,, $ 255.89 ,, $ 384.30 , $ 341.18 , $ 43.12 ,11%,5/14/2025,  7.00 
362,5/7/2025,arttefinaluxury,Chloe Red Drew,,,Excellent Condition,, $ 354.49 ,,,, $ -   ,0%,,  90.00 
363,5/8/2025,japanluxlifestyle,Chanel Black Cosmetic Bag,,,Great Condition,, $ 136.76 ,,,, $ -   ,0%,,  89.00 
364,5/8/2025,japanluxlifestyle,Louis Vuitton Red Vernis Key Chain Coin Pouch - Full Inclusion,,,Great Condition,, $ 161.87 ,,,, $ -   ,0%,,  89.00 
364,5/25/2025,Darwadi,Gucci Web Cherry Line Interlocking Crossbody,,,Fair Condition,, $ 216.71 ,,,, $ -   ,0%,,  72.00 
365,5/8/2025,japanluxlifestyle,Louis Vuitton Monogram Men's Cardholder - Full Inclusion,,,Great Condition,, $ 179.69 ,, $ 276.25 , $ 245.17 , $ 31.08 ,11%,5/21/2025,  13.00 
366,5/8/2025,japanluxlifestyle,Blue YSL Long Zippy Wallet,,,Excellent Condition,, $ 304.92 ,, $ 449.00 , $ 398.00 , $ 51.00 ,11%,7/20/2025,  73.00 
367,5/8/2025,japanluxlifestyle,Gucci Red Patent Leather Wallet with Heart Logo,,,Excellent Condition,, $ 152.46 ,, $ 275.00 , $ 243.77 , $ 31.23 ,11%,7/13/2025,  66.00 
368,5/8/2025,japanluxlifestyle,Louis Vuitton Red Epi Long Zippy Wallet - Full Inclusion,,,Great Condition,, $ 96.02 ,, $ 185.00 , $ 146.46 , $ 38.54 ,21%,6/12/2025,  35.00 
369,5/8/2025,japanluxlifestyle,Louis Vuitton Damier Ebene Card Holder,,,Good Condition,, $ 50.00 ,, $ 35.00 , $ 30.63 , $ 4.37 ,12%,6/27/2025,  50.00 
370,5/8/2025,japanluxlifestyle,Louis Vuitton Red Epi Key Cles,,,Good Condition,, $ 50.00 ,,,, $ -   ,0%,,  89.00 
371,5/8/2025,japanluxlifestyle,Louis Vuitton Papillion Size 12,,,Great Condition,, $ 291.59 ,, $ 449.00 , $ 350.88 , $ 98.12 ,22%,5/26/2025,  18.00 
372,5/8/2025,japanluxlifestyle,Louis Vuitton Pochette Twin,,,Good Condition,, $ 267.55 ,, $ 369.00 , $ 327.75 , $ 41.25 ,11%,7/18/2025,  71.00 
373,5/8/2025,japanluxlifestyle,Louis Vuitton Chantilly Crossbody Bag,,,Good Condition,, $ 245.75 ,, $ 405.00 , $ 359.18 , $ 45.82 ,11%,6/14/2025,  37.00 
374,5/9/2025,foreignobjects,YSL Leather 2Way Bag in Pink,,,Great Condition,, $ 287.73 ,, $ 375.00 , $ 332.97 , $ 42.03 ,11%,5/30/2025,  21.00 
375,5/9/2025,foreignobjects,Dior Black Leather Chain Shoulder Bag,,,Good Condition,, $ 228.69 ,,,, $ -   ,0%,,  88.00 
376,5/9/2025,goldenboutique,Red Tory Burch Flap bag with Braided Red and Gold Chain,,,Great Condition,, $ 96.06 ,, $ 81.00 , $ 74.85 , $ 6.15 ,8%,7/5/2025,  57.00 
377,5/9/2025,goldenboutique,MCM Cognac Hobo Shoulder Bag,,,Great Condition,, $ 146.16 ,,,, $ -   ,0%,,  88.00 
378,5/9/2025,goldenboutique,MCM Beige Hobo Shoulder Bag,,,Great Condition,, $ 157.05 ,,,, $ -   ,0%,,  88.00 
379,5/9/2025,goldenboutique,MCM Coral Crossbody,,,Great Condition,, $ 118.93 ,,,, $ -   ,0%,,  88.00 
381,5/9/2025,houstonselects,Louis Vuitton St Cloud Crossbody,,,Great Condition,, $ 369.40 ,,,, $ -   ,0%,,  88.00 
382,5/10/2025,goldenboutique,MCM Burgundy Crossbody with Gold Hardware,,,Excellent Condition,, $ 184.27 ,,,, $ -   ,0%,,  87.00 
383,5/10/2025,japanluxlifestyle,Louis Vuitton Caramel Vernis Shoulder Bag,,,Great Condition,, $ 190.80 ,,,, $ -   ,0%,,  87.00 
384,5/10/2025,Starluxeboutique,Louis Vuitton Taiga Messenger Bag,,,Good Condition,, $ 118.93 ,,,, $ -   ,0%,,  87.00 
385,5/10/2025,Starluxeboutique,Tiffany Elsa Perreti Heart Necklace,,,Great Condition,, $ 83.85 ,,,, $ -   ,0%,,  87.00 
386,5/10/2025,isaacsluxury,Louis Vuitton Monogram Sarah Wallet with Fushia Interior,,,Good Condition,, $ 243.41 ,, $ 299.00 , $ 265.38 , $ 33.62 ,11%,6/1/2025,  22.00 
387,5/11/2025,luxe_off,Gucci Pink Butterfly Long Wallet,,,Good Condition,, $ 172.57 ,,,, $ -   ,0%,,  86.00 
388,5/11/2025,luxe_off,Louis Vuitton Compact Lock and Key Wallet - Limited Edition,,,Good Condition,, $ 162.54 ,, $ 260.00 , $ 230.79 , $ 29.21 ,11%,6/25/2025,  45.00 
389,5/12/2025,goldenboutique,Black Tory Burch Rounded Crossbody with Gold Hardware,,,Great Condition,, $ 91.71 ,,,, $ -   ,0%,,  85.00 
390,5/12/2025,goldenboutique,Camel Tory Burch Rounded Crossbody with Gold Hardware with Dust Bag,,,Excellent Condition,, $ 98.01 ,, $ 75.00 , $ 66.27 , $ 8.73 ,12%,5/21/2025,  9.00 
391,5/12/2025,goldenboutique,MCM Black and Snake Skin Limited Edition Crossbody (Said sell for $300),,,Great Condition,, $ 151.60 ,, $ 252.00 , $ 223.72 , $ 28.28 ,11%,5/18/2025,  6.00 
392,5/12/2025,goldenboutique,Marc Jacobs Navy Chain Flap Crossbody,,,New Never Worn,, $ 130.68 ,,,, $ -   ,0%,,  85.00 
393,5/12/2025,goldenboutique,Black Tory Burch Two Way Top Handle Crossbody Bag (Said sell for $300),,,Excellent Condition,, $ 144.91 ,, $ 276.25 , $ 244.83 , $ 31.42 ,11%,6/27/2025,  46.00 
394,5/12/2025,goldenboutique,Tan Tory Burch Crossbody with Gold Hardware,,,Excellent Condition,, $ 144.91 ,, $ 199.00 , $ 176.24 , $ 22.76 ,11%,6/6/2025,  25.00 
395,5/12/2025,goldenboutique,Camel Tory Burch Crossbody with Gold Hardware,,,Excellent Condition,, $ 144.91 ,,,, $ -   ,0%,,  85.00 
397,5/8/2025,servinmyaunty,Prada Milano 00's Agento Nylon Bag in Light Blue,,,Great Condition,, $ 190.13 ,, $ 250.00 , $ 221.55 , $ 28.45 ,11%,5/30/2025,  22.00 
399,5/8/2025,ambervandenberg,Chloe Small Gray Marcie Satchel,,,Great Condition,, $ 270.77 ,, $ 360.00 , $ 319.44 , $ 40.56 ,11%,5/16/2025,  8.00 
400,5/9/2025,sophiej714,Hand Painted Baby Pink Chloe Marcie,,,Excellent Condition,, $ 218.02 ,, $ 399.00 , $ 354.14 , $ 44.86 ,11%,6/22/2025,  44.00 
401,5/4/2025,k-saatee-luxury,Louis Vuitton Damier Ebene Wallet - Hand Painted with Palm Beach,,,Good Condition,, $ 239.58 ,, $ 299.00 , $ 265.17 , $ 33.83 ,11%,5/18/2025,  14.00 
402,5/15/2025,houstonselects,Louis Vuitton Cream Vernis Key Cles / Coin Pouch,,,Great condition,, $ 102.60 ,,,, $ -   ,0%,,  82.00 
403,5/15/2025,houstonselects,Louis Vuitton Brown Epi Bracelet,,,Like new full inclusion with COA,, $ 129.82 ,,,, $ -   ,0%,,  82.00 
404,5/13/2025,goldenboutique,Grey MCM Crocodile Embossed Tote with Gunmetal Hardware,,,Great condition,, $ 109.13 ,, $ 199.20 , $ 176.49 , $ 22.71 ,11%,5/18/2025,  5.00 
405,5/13/2025,goldenboutique,Blue MCM 2Way Bag with Silver Hardware,,,Good Condition,, $ 108.90 ,,,, $ -   ,0%,,  84.00 
406,5/13/2025,house_of_luxury,Christian Dior Gold Rhinestone Necklace,,,Good Condition,, $ 0.01 ,, $ 64.00 , $ 56.35 , $ 7.65 ,12%,7/21/2025,  69.00 
407,5/14/2025,goldenboutique,Grey MCM Hobo Tote with Silver Hardware,,,Good Condition,, $ 118.93 ,, $ 250.00 , $ 222.10 , $ 27.90 ,11%,5/21/2025,  7.00 
408,5/16/2025,japanluxlifestyle,Chloe GWP Crossbody Bag,,,NWT,, $ 99.73 ,,,, $ -   ,0%,,  81.00 
409,5/16/2025,goldenboutique,Blue MCM Boston Bag,,,Good - Condition,, $ 68.84 ,,,, $ -   ,0%,,  81.00 
410,5/16/2025,houstonselects,Louis Vuitton Red Vernis Top Handle Bag,,,Great condition,, $ 287.73 ,, $ 516.00 , $ 314.76 , $ 201.24 ,39%,7/1/2025,  46.00 
411,5/16/2025,houstonselects,Louis Vuitton Tivoli Top Handle Bag,,,Good condition,, $ 444.54 ,,,, $ -   ,0%,,  81.00 
412,5/17/2025,goldenboutique,Marc Jacobs Light Brown 2Way Bag,,,Excellent Condition,, $ 151.60 ,, $ 233.00 , $ 178.18 , $ 54.82 ,24%,7/24/2025,  68.00 
413,5/17/2025,goldenboutique,Blue MCM 2Way Bag ,,,Excellent Condition,, $ 184.27 ,,,, $ -   ,0%,,  80.00 
414,4/21/2023,NA,Gucci Soho Long Flap Crossbody,,,Excellent Condition,, $ 0.01 ,, $ 699.00 , $ 620.47 , $ 78.53 ,11%,5/18/2025,  758.00 
415,5/17/2025,Starluxeboutique,Sponsor JBLs,,,NA,, $ 56.53 ,,,, $ -   ,0%,,  80.00 
416,5/17/2025,house_of_luxury,Christian Dior Heart Necklace,,,Great condition,, $ 128.05 ,,,, $ -   ,0%,,  80.00 
417,5/17/2025,house_of_luxury,Hermes Brown Bracelet,,,Great condition,, $ 172.76 ,,,, $ -   ,0%,,  80.00 
418,5/18/2025,japanluxlifestyle,Louis Vuitton Bucket Pouchette,,,Good Condition,, $ 222.79 ,,,, $ -   ,0%,,  79.00 
419,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 43.00 , $ 37.91 , $ 5.09 ,12%,5/25/2025,  7.00 
420,5/12/2025,boltluxury,Kate Spade Tan Tote,,,Good Condition,, $ 53.58 ,, $ 86.25 , $ 76.02 , $ 10.23 ,12%,6/5/2025,  24.00 
421,5/18/2025,haleymjayy,Chloe Pink Bow Wallet,,,Good Condition,, $ 126.30 ,,,, $ -   ,0%,,  79.00 
422,5/18/2025,haleymjayy,Chloe Hot Pink Wallet,,,Good Condition,, $ 126.30 ,,,, $ -   ,0%,,  79.00 
423,5/18/2025,house_of_luxury,Giveaway brooch,,,NA,, $ 59.44 ,,,, $ -   ,0%,,  79.00 
424,5/18/2025,next_level_luxury,Giveaway Earbuds,,,NA,, $ 86.84 ,,,, $ -   ,0%,,  79.00 
425,5/19/2025,designerbrandbag,Fendi Petit 2Way Shoulder Handbag Multicolor,,,Good Condition,, $ 347.62 ,, $ 561.75 , $ 498.57 , $ 63.18 ,11%,5/26/2025,  7.00 
426,5/20/2025,house_of_luxury,Miu Miu Grey and White Shoulderbag,,,Good Condition,, $ 287.73 ,,,, $ -   ,0%,,  77.00 
427,5/20/2025,house_of_luxury,MCM Black Bucket Shoulder Bag,,,Great Condition,, $ 143.48 ,,,, $ -   ,0%,,  77.00 
428,5/21/2025,goldenboutique,MCM Beige Reversable Tote,,,Great Condition,, $ 94.97 ,, $ 239.20 , $ 211.96 , $ 27.24 ,11%,5/25/2025,  4.00 
429,5/21/2025,goldenboutique,Red and White Tory Burch Crossbody,,,Excellent Condition,, $ 152.46 ,, $ 296.65 , $ 263.44 , $ 33.21 ,11%,5/30/2025,  9.00 
430,5/21/2025,goldenboutique,Grey Blue Prada Nylon Tote (Sell $420 to $450),,,Great Condition,, $ 173.38 ,, $ 375.00 , $ 293.25 , $ 81.75 ,22%,6/12/2025,  22.00 
431,5/21/2025,goldenboutique,Burberry Baguette Style Tote,,,Great Condition,, $ 196.02 ,,,,,0%,,  76.00 
432,5/21/2025,house_of_luxury,Hermes Hot Pink Second Bag,,,Great Condition,, $ 51.82 ,, $ 120.00 , $ 96.13 , $ 44.31 ,37%,6/2/2025,  12.00 
433,5/22/2025,Buyee,Gucci Cherry Line Boston,,,Great Condition,, $ 224.54 ,, $ 325.00 , $ 288.21 , $ 63.67 ,20%,6/8/2025,  17.00 
434,5/22/2025,Buyee,Gucci Bamboo Tote with Tassle,,,Great Condition,, $ 276.68 ,,,, $ (276.68),0%,,  75.00 
435,5/22/2025,Buyee,Prada Tote,,,Fair Condition,, $ 73.64 ,, $ 89.00 , $ 78.53 , $ 4.89 ,5%,7/17/2025,  56.00 
436,5/22/2025,Buyee,Chloe Marcie in Pink,,,Great Condition,, $ 347.02 ,,,, $ (347.02),0%,,  75.00 
437,5/22/2025,Buyee,Gucci Bucket Bag in Black,,,Great Condition,, $ 259.54 ,, $ 429.00 , $ 380.55 , $ 121.01 ,28%,6/27/2025,  36.00 
438,5/22/2025,Buyee,Chanel Black and White Tote,,,Great Condition,, $ 466.56 ,, $ 789.00 , $ 700.90 , $ 234.34 ,30%,6/25/2025,  34.00 
439,5/22/2025,Buyee,Louis Vuitton Hampsted MM White Damier Azur,,,Good Condition,, $ 388.56 ,,,, $ (388.56),0%,,  75.00 
440,5/22/2025,Buyee,Louis Vuitton Mini Camile 2Way,,,Good Condition,, $ 350.36 ,,,, $ (350.36),0%,,  75.00 
441,5/22/2025,Buyee,Louis Vuitton Bordeaux Crossbody,,,Good Condition,, $ 360.86 ,, $ 540.00 , $ 479.05 , $ 118.19 ,22%,5/28/2025,  6.00 
442,5/22/2025,Buyee,Louis Vuitton Looping GM,,,Good Condition,, $ 283.39 ,, $ 525.00 , $ 465.87 , $ 182.48 ,35%,6/6/2025,  15.00 
443,5/23/2025,Ajneluna,Pink MCM Wallet ,,,Excellent Condition,, $ 118.93 ,, $ 160.00 , $ 144.03 , $ 25.10 ,16%,6/5/2025,  13.00 
444,5/23/2025,Ajneluna,Vintage Coach Hobo with Orange Detail,,,Good Condition,, $ 59.90 ,,,, $ (59.90),0%,,  74.00 
445,5/23/2025,Ajneluna,MCM Cognac Bucket Bag,,,Great Condition,, $ 153.40 ,,,, $ (153.40),0%,,  74.00 
446,5/23/2025,Ajneluna,MCM Hobo Shoulder Bag in Cream ,,,Good Condition,, $ 200.00 ,,,, $ (200.00),0%,,  74.00 
447,5/23/2025,Ajneluna,Limited Edition Silver MCM Tote with Pink Sky Interior,,,Great Condition,, $ 300.00 ,, $ 449.00 , $ 398.71 , $ 98.71 ,22%,6/8/2025,  16.00 
448,5/22/2025,LuxLux,Chloe Paddington Champagne,,,Great Condition,, $ 434.40 ,,,, $ (434.40),0%,,  75.00 
449,5/22/2025,LuxLux,Louis Vuitton Looping GM ,,,Great Condition,, $ 255.60 ,, $ 549.00 , $ 487.70 , $ 232.10 ,42%,6/22/2025,  31.00 
450,5/10/2025,AshleyJordan,Jimmy Choo Purple Wallet,,,Great condition,, $ 70.00 ,, $ 130.00 , $ 115.08 , $ 45.08 ,35%,5/25/2025,  15.00 
451,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 51.00 , $ 44.74 , $ 24.74 ,49%,5/25/2025,  7.00 
452,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 30.00 , $ 26.37 , $ 6.37 ,21%,5/25/2025,  7.00 
453,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 35.00 , $ 30.52 , $ 10.52 ,30%,5/25/2025,  7.00 
454,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 15.00 , $ 12.77 , $ (7.23),-48%,5/25/2025,  7.00 
455,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 25.00 , $ 21.68 , $ 1.68 ,7%,7/14/2025,  57.00 
456,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 25.00 , $ 21.93 , $ 1.93 ,8%,7/17/2025,  60.00 
457,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 21.00 , $ 18.36 , $ (1.64),-8%,7/17/2025,  60.00 
458,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,, $ 23.00 , $ 20.14 , $ 0.14 ,1%,7/17/2025,  60.00 
459,5/18/2025,japanluxlifestyle,LV Luggage Tag,,,Good Condition,, $ 20.00 ,,,, $ (20.00),0%,,  79.00 
460,5/25/2025,laceluxx,Giveaway Costs,,,,, $ 163.60 ,, $ -   , $ -   , $ (163.60),0%,5/25/2025,  -   
461,5/26/2025,Wen,Prada Envelope Crossbody in Red,,,Good Condition,, $ 174.24 ,, $ 410.00 , $ 364.07 , $ 189.83 ,46%,6/1/2025,  6.00 
462,5/26/2025,Vestiaire,Fendi Cloth Backpack,,,Good Condition,, $ 179.69 ,,,, $ (179.69),0%,,  71.00 
463,5/26/2025,panandpiperscloset,Labubu and clothes,,,New Never Worn,, $ 88.44 ,, $ 115.00 , $ 101.89 , $ 13.45 ,12%,6/14/2025,  19.00 
465,5/25/2025,Darwadi,Louis Vuitton Monogram Noe Shoulder Bag,,,Good Condition,, $ 202.78 ,, $ 280.00 , $ 248.30 , $ 45.52 ,16%,7/11/2025,  47.00 
466,5/25/2026,NeonLuxury,Show Promotion,,,,, $ 90.76 ,,,, $ (90.76),0%,,  (293.00)
467,5/25/2025,StyledbyBrittany,Vintage Coach Wallet in Blue,,,Excellent Condition,, $ 48.25 ,, $ 19.00 , $ 16.36 , $ (31.89),-168%,6/6/2025,  12.00 
468,5/25/2025,StyledbyBrittany,Black Logo Coach Wristlet,,,Excellent Condition,, $ 40.19 ,,,, $ (40.19),0%,,  72.00 
469,5/25/2025,jonesy_branded_luxury,Fendi Leather MIA Bag,,,Excellent Condition,, $ 494.01 ,,,, $ (494.01),0%,,  72.00 
470,5/25/2025,Starluxeboutique,Coach Tan Shoulder Bag,,,Good Condition,, $ 56.84 ,,,, $ (56.84),0%,,  72.00 
471,5/24/2025,StyledbyBrittany,Rerun promotion,,,,, $ 9.80 ,,,, $ (9.80),0%,,  73.00 
472,5/24/2025,StyledbyBrittany,Coach Signature Wristlet,,,Excellent Condition,, $ 46.72 ,, $ 51.00 , $ 44.79 , $ (1.93),-4%,6/6/2025,  13.00 
473,5/24/2025,StyledbyBrittany,Coach Purple Wristlet,,,Excellent Condition,, $ 49.08 ,,,, $ (49.08),0%,,  73.00 
474,5/23/2025,Ringabag,Prada Grey Grained Leather Tote,,,Good Condition,, $ 316.04 ,,,, $ (316.04),0%,,  74.00 
475,5/23/2025,goldenboutique,Burberry Maroon Backpack with Black and Gold Hardware,,,Excellent Condition - Comes with COA,, $ 152.18 ,, $ 339.15 , $ 301.24 , $ 149.06 ,44%,5/30/2025,  7.00 
476,5/23/2025,goldenboutique,Blue MCM 2Way Shoulder Bag with Gold Hardware,,,Great Condition,, $ 179.10 ,,,, $ (179.10),0%,,  74.00 
477,5/23/2025,goldenboutique,Black 2Way MCM Large Bag with Gold Hardware,,,Excellent Condition,, $ 169.02 ,,,, $ (169.02),0%,,  74.00 
478,5/23/2025,goldenboutique,Orange MCM Two Way with Gold Hardware,,,Excellent Condition,, $ 170.11 ,,,, $ (170.11),0%,,  74.00 
479,5/23/2025,goldenboutique,Gucci Pug Bag ,,,Fair Condition - Comes with COA,, $ 300.56 ,, $ 509.15 , $ 452.20 , $ 151.64 ,30%,5/30/2025,  7.00 
480,5/23/2025,goldenboutique,Large Cream MCM Hobo,,,Good Condition,, $ 106.95 ,,,, $ (106.95),0%,,  74.00 
481,5/23/2025,goldenboutique,Large MCM Cognac Backpack,,,Great Condition,, $ 257.23 ,,,, $ (257.23),0%,,  74.00 
482,5/23/2025,goldenboutique,MCM Small Saddle Bag Style Shoulder Bag Cognac with Orange Lining Baguette,,,Excellent Condition,, $ 140.00 ,, $ 261.75 , $ 232.46 , $ 92.46 ,35%,5/30/2025,  7.00 
483,5/23/2025,goldenboutique,Black Gucci Soho Crossbody,,,Great Condition,, $ 470.00 ,, $ 679.00 , $ 603.22 , $ 133.22 ,20%,7/14/2025,  52.00 
484,5/24/2025,goldenboutique,Large Lavender MCM Two Way with Silver Hardware,,,Great Condition,, $ 201.47 ,,,, $ (201.47),0%,,  73.00 
485,5/24/2025,goldenboutique,Purple MCM Crossbody with Chunky Gold Chain and Tassle ,,,Excellent Condition,, $ 206.05 ,,,, $ (206.05),0%,,  73.00 
486,5/25/2025,cece_wong,Chloe Drew in Muted Pink with Gold Hardware,,,Excellent Condition,, $ 238.15 ,, $ 499.00 , $ 442.89 , $ 204.74 ,41%,6/27/2025,  33.00 
487,5/26/2025,Buyee,Prada Canapa in Denim ,,,Good Condition,, $ 241.09 ,, $ 380.00 , $ 337.08 , $ 95.99 ,25%,7/26/2025,  61.00 
488,5/25/2025,Buyee,Chloe Beige Bag,,,Good Condition,, $ 88.45 ,, $ 157.50 , $ 139.28 , $ 50.83 ,32%,6/10/2025,  16.00 
489,5/25/2025,Buyee,Gucci 348715 Denim Hawaii Limited Denim Tote Bag Shoulder Bag Blue ,,,Excellent Condition,, $ 277.11 ,, $ 480.00 , $ 480.00 , $ 202.89 ,42%,6/28/2025,  34.00 
490,5/26/2025,laceluxx,Shipping for Givvys,,,,, $ 91.91 ,, $ -   , $ -   , $ (91.91),0%,5/26/2025,  -   
491,5/26/2025,laceluxx,Promotion,,,,, $ 80.00 ,, $ -   , $ -   , $ (80.00),0%,5/26/2025,  -   
492,5/26/2025,Buyee,Red Gucci Shoulder Bag,,,Great condition,, $ 229.04 ,, $ 449.00 , $ 397.68 , $ 168.64 ,38%,7/1/2025,  36.00 
493,5/26/2025,Buyee,Prada White Nylon Chain Tote Bag,,,Fair Condition,, $ 21.33 ,, $ 101.00 , $ 89.23 , $ 67.90 ,67%,6/27/2025,  32.00 
494,5/26/2025,Buyee,Louis Vuitton Noe in Blue Epi,,,Great Condition,, $ 129.60 ,,,, $ (129.60),0%,,  71.00 
495,5/26/2025,Buyee,Ferragamo Brown Top Handle Bag,,,Great Condition,, $ 86.55 ,,,, $ (86.55),0%,,  71.00 
496,5/26/2025,Buyee,Louis Vuitton Gamble Bracelet,,,Great Condition,, $ 78.06 ,,,, $ (78.06),0%,,  71.00 
497,5/26/2025,goldenboutique,Blue Suede Coach Shoulder Bag,,,Excellent Condition,, $ 184.27 ,,,, $ (184.27),0%,,  71.00 
498,5/27/2025,phdshopper,See by Chloe Beige Leather and Suede Crossbody,,,Excellent Condition,, $ 138.10 ,,,, $ (138.10),0%,,  70.00 
